episodes,raw_saturation_mean,A_block_1_mean,A_block_1_low_hit,A_block_1_high_hit,A_block_2_mean,A_block_2_low_hit,A_block_2_high_hit,A_block_3_mean,A_block_3_low_hit,A_block_3_high_hit,A_off_mean,A_off_low_hit,A_off_high_hit,B_col_1_mean,B_col_1_low_hit,B_col_1_high_hit,B_col_2_mean,B_col_2_low_hit,B_col_2_high_hit
16-30,0.8572222222222222,0.8673201630543869,0.3139166666666667,0.46275,0.8398262401014355,0.3566666666666667,0.405,0.8079800443132016,0.4260833333333333,0.3435,0.8272303903498079,0.39025,0.3825,0.9585340841477489,0.3670833333333333,0.385,0.9038712905292204,0.439,0.30733333333333335
31-100,0.33786607142857145,0.895145714935245,0.06417857142857143,0.14601785714285714,0.9079738560381135,0.04894642857142857,0.14044642857142858,0.8180542877898961,0.135625,0.06635714285714285,0.8656144275392899,0.06482142857142857,0.07651785714285714,0.9880444752366314,0.07369642857142857,0.10783928571428572,0.8374138365824327,0.21157142857142858,0.04466071428571428
101-200,0.1754625,0.879829256515697,0.0137125,0.117325,0.887037412086413,0.0135625,0.0463875,0.9283279134226677,0.0109,0.0629875,0.8655126523609294,0.01865,0.0286,0.9119168606934409,0.0248375,0.03235,0.9628004700759842,0.0392125,0.0270375
16-200,0.2921903153153153,0.8846104223937981,0.05714864864864865,0.1561891891891892,0.8911313769342203,0.05477027027027027,0.11105405405405405,0.8768448224446352,0.09175675675675676,0.08700675675675676,0.8624471946977859,0.06625,0.07542567567567568,0.944501678908781,0.07107432432432433,0.08950675675675676,0.9105788374394973,0.13684459459459458,0.056432432432432435
