episodes,alpha_mean,alpha_low_hit,alpha_high_hit,B1_mean,B2_mean,raw_saturation_mean
16-30,0.8985826181331393,0.2375,0.512,0.943371259066218,0.9869285122043783,0.8442777777777778
101-200,0.7961446274901776,0.0619875,0.0345125,1.0118323053675595,0.9630879408211316,0.09100416666666666
16-200,0.815136380255873,0.07450675675675676,0.12356756756756757,0.9954102543427918,0.9580932573417829,0.21881306306306306
