coordinate_label,coordinate_type,S_rho,S_G,rho_minus,rho_plus,gain_ratio_minus,gain_ratio_plus,log_minus,log_plus
A_block_1,A_block,0.942049013302276,2.09878286226365,0.927830357763138,0.965512318295229,0.0388937090516504,0.0437770766400441,-0.02,0.0199999999999999
A_block_2,A_block,0.0044970213286116,3.4662941471140445,0.9463938934543132,0.9465737743074576,0.0626045430739356,0.0704662085394029,-0.02,0.0199999999999999
A_block_3,A_block,0.0,0.0452507343792445,0.9463938934543132,0.9463938934543132,0.0008959288814117,0.0009140278453849,-0.02,0.0199999999999999
A_off,A_off,0.0,0.0892947420710391,0.9463938934543132,0.9463938934543132,0.0017502119692496,0.0018213031923987,-0.02,0.0199999999999999
B_col_1,B_col,0.0,0.4775112365770579,0.9463938934543132,0.9463938934543132,0.009412746737561,0.0096028968349921,-0.02,0.0199999999999999
B_col_2,B_col,0.0,0.8935140339887274,0.9463938934543132,0.9463938934543132,0.0174210429557803,0.0177729713681506,-0.02,0.0199999999999999
