method,variant,window,reward_delta_mean,nominal_penalty_mean,safe_threshold_mean,candidate_advantage_mean,safe_pass_rate,benefit_pass_rate,dual_pass_rate,clip_fraction_mean
Scalar matrix,Step 3C shadow study,11-20,-0.0658532067065992,0.002498487436356573,0.004778326946373331,0.0024982044803021973,0.564875,0.999875,0.56475,0.33620833333333333
Scalar matrix,Step 3C shadow study,21-40,-0.07820408428438134,0.004819830036519896,0.004778794431867003,0.004819271825279878,0.4605625,1.0,0.4605625,0.1708333333333333
Scalar matrix,Step 3C shadow study,41-100,0.341494882761251,0.005196168817869542,0.004414556508929465,0.0051948232412578465,0.5070833333333333,0.9999375,0.5070208333333334,0.0
Scalar matrix,Step 3C shadow study,101-200,0.650165345106511,0.004756016057121517,0.004150450478105148,0.0047556246508357585,0.436425,0.9997125,0.4361375,0.0
Structured matrix,Step 3C shadow study,11-20,-0.09028914061118076,0.004102629204889208,0.0048028491542343515,0.004161779885874416,0.60925,0.99975,0.609,0.18804166666666666
Structured matrix,Step 3C shadow study,21-40,-0.17061819772273268,0.008460972871877132,0.004814231382197807,0.0084879001160121,0.5958125,1.0,0.5958125,0.21442708333333332
Structured matrix,Step 3C shadow study,41-100,0.2259400007843396,0.012543537850125653,0.004487614228966707,0.012597829115101003,0.49064583333333334,0.9999166666666667,0.4905625,0.0
Structured matrix,Step 3C shadow study,101-200,0.7302551418700266,0.012075273206562796,0.004053530800104983,0.012085094954815087,0.3422375,0.9999625,0.3422,0.0
