label,status,reward_step_mean,reward_step_std,reward_last_episode_mean,reward_last_episode_std,reward_min_step,output1_mae_mean,output2_mae_mean,output1_mae_last_episode,output2_mae_last_episode,u1_lower_sat_frac,u1_upper_sat_frac,u2_lower_sat_frac,u2_upper_sat_frac,gain_fro_norm,bundle_path,plot_dir,poles,poles_arr,pole_mean,pole_max,pole_min,pole_std,u_sat_total
p14_current_less_offset_slow,ok,-923.5244425092606,3457.6444828496897,-934.5087321063392,3442.895277699382,-23561.147110334256,0.0664347237234658,0.1956030269408424,0.0681919371399028,0.2029427124451658,0.0,0.09625,0.0,0.14875,0.4096277352814005,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p14_current_less_offset_slow.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p14_current_less_offset_slow_nominal_none\20260428_041710,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.72, 0.86]",[0.35 0.4  0.45 0.5  0.55 0.72 0.86],0.547142857142857,0.86,0.35,0.16900670195623146,0.245
p10_current_slightly_faster,ok,-1002.7454635652869,3649.362652398088,-998.7839389870192,3600.2396224632325,-25766.24185277973,0.0689217555802508,0.1967630809089676,0.0690470325274887,0.2012485827165525,0.0,0.11625,0.0,0.16375,0.3732411649636262,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p10_current_slightly_faster.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p10_current_slightly_faster_nominal_none\20260428_032535,"[0.28, 0.34, 0.4, 0.46, 0.52, 0.78, 0.88]",[0.28 0.34 0.4  0.46 0.52 0.78 0.88],0.5228571428571429,0.88,0.28,0.20878658178794413,0.28
p25_one_slow_offset_fast,ok,-1086.030877883347,3350.6368425075707,-1018.095650870696,3106.974087099929,-22467.86924331483,0.0794160724087145,0.1870415182599207,0.0785155868880327,0.1926570592445139,0.01125,0.18875,0.00375,0.18875,0.6816445277719894,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p25_one_slow_offset_fast.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p25_one_slow_offset_fast_nominal_none\20260428_063320,"[0.18, 0.24, 0.3, 0.36, 0.42, 0.55, 0.92]",[0.18 0.24 0.3  0.36 0.42 0.55 0.92],0.42428571428571427,0.92,0.18,0.23138447551684208,0.3925
p21_uniform_slow,ok,-818.5032627482743,3220.852921002328,-1100.7215299350446,3889.950214358489,-25015.900175862134,0.061243790258844,0.2085621842995514,0.0729166525884211,0.2171758769859157,0.0,0.08875,0.0,0.095,1.0057676210656603,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p21_uniform_slow.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p21_uniform_slow_nominal_none\20260428_054305,"[0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85]",[0.55 0.6  0.65 0.7  0.75 0.8  0.85],0.7,0.85,0.55,0.09999999999999999,0.18375
p08_moderate_fast_c,ok,-1204.2661462846308,4050.519234996155,-1106.0649063476708,3641.3763065451344,-27485.332637419106,0.0803000077173772,0.2019506274707415,0.0812573106713817,0.1946074061926511,0.0,0.24625,0.0,0.16,0.3561271167595741,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p08_moderate_fast_c.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p08_moderate_fast_c_nominal_none\20260428_030026,"[0.25, 0.3, 0.35, 0.4, 0.45, 0.8, 0.92]",[0.25 0.3  0.35 0.4  0.45 0.8  0.92],0.49571428571428566,0.92,0.25,0.24017000781334297,0.40625
p22_polymer_style_fast,ok,-654.5551992736704,3154.3469477957315,-1169.3905380519036,4399.979917303775,-28061.88896380513,0.0498714018205255,0.1956180451745672,0.0628857317183063,0.2056624009986936,0.0,0.0,0.0,0.0825,0.3009091571863665,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p22_polymer_style_fast.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p22_polymer_style_fast_nominal_none\20260428_055445,"[0.3, 0.34, 0.38, 0.42, 0.46, 0.91, 0.97]",[0.3  0.34 0.38 0.42 0.46 0.91 0.97],0.54,0.97,0.3,0.257959022216431,0.0825
p07_moderate_fast_b,ok,-1208.9321851322711,3988.4651722134913,-1183.2397452436223,3886.9233093724406,-26075.752627463866,0.07925085063668,0.1962537799914872,0.0782254588742682,0.1978651771523842,0.0,0.1625,0.0,0.1725,0.3965642109667157,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p07_moderate_fast_b.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p07_moderate_fast_b_nominal_none\20260428_024645,"[0.22, 0.28, 0.34, 0.4, 0.46, 0.78, 0.9]",[0.22 0.28 0.34 0.4  0.46 0.78 0.9 ],0.48285714285714293,0.9,0.22,0.239148148089618,0.33499999999999996
p24_polymer_style_slow,ok,-670.5843789641597,3134.446866686752,-1203.5216930515087,4367.121654493214,-27988.27346847567,0.0521735465802629,0.2065536944435639,0.0674187857683171,0.2311908913084372,0.0,0.0,0.0,0.12875,0.5275280656172663,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p24_polymer_style_slow.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p24_polymer_style_slow_nominal_none\20260428_061940,"[0.42, 0.46, 0.5, 0.54, 0.58, 0.91, 0.97]",[0.42 0.46 0.5  0.54 0.58 0.91 0.97],0.6257142857142857,0.97,0.42,0.20506843058962002,0.12875
p15_slow_physical_a,ok,-1261.661843778672,4642.469511762539,-1233.1173666800482,4613.887877389979,-28897.58427195428,0.0751727040318071,0.2179336114910809,0.073524449874255,0.2162084538446028,0.0,0.38875,0.0,0.11875,0.6323946307377355,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p15_slow_physical_a.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p15_slow_physical_a_nominal_none\20260428_043029,"[0.45, 0.5, 0.55, 0.6, 0.65, 0.85, 0.93]",[0.45 0.5  0.55 0.6  0.65 0.85 0.93],0.6471428571428571,0.93,0.45,0.1661938872620329,0.5075
p26_one_slow_offset_mid,ok,-1411.5585542987333,4730.987437449618,-1262.6026189249603,4502.362020150343,-27797.247257120875,0.0852546364672812,0.2041982621375404,0.0809867093606305,0.2020073441654881,0.015,0.265,0.00125,0.17375,0.3788456454132056,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p26_one_slow_offset_mid.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p26_one_slow_offset_mid_nominal_none\20260428_064736,"[0.3, 0.36, 0.42, 0.48, 0.54, 0.65, 0.92]",[0.3  0.36 0.42 0.48 0.54 0.65 0.92],0.5242857142857142,0.92,0.3,0.1937492593797563,0.45499999999999996
