run_id,family,variant_key,variant_label,candidate_valid_frac,fallback_frac,update_event_frac,update_success_frac,condition_median,condition_p95,condition_p99,residual_norm_median,residual_norm_p95,residual_norm_p99,residual_ratio_median,residual_ratio_p95,residual_ratio_p99,eta_A_requested_p95,eta_A_applied_p95,eta_B_requested_p95,eta_B_applied_p95,blend_A_p50,blend_B_p50,source0_frac,source1_frac,source2_frac
reidentification:legacy,reidentification,legacy,legacy,0.0020625,0.19949375,0.19990625,0.0004125,184829.69717580092,2932624.9417240657,4943589.282993558,2.7197578503620106,199.05760198417215,204.63069015093873,nan,nan,nan,nan,0.8600253469464063,nan,0.8511359538410218,nan,nan,0.80009375,0.0004125,0.19949375
reidentification:refreshed_legacy_observer,reidentification,refreshed_legacy_observer,refreshed (legacy-observer run),0.0010625,0.19969375,0.19990625,0.0002125,185509.08070266095,2199603.175977453,2345120.007246398,2.6520071387320883,104.85298154394455,124.19702813203119,0.9714241376726416,5.194269489338479,6.970224727548029,0.9044179917818774,0.9044179917818774,0.9458543381512127,0.9458543381512127,1.0,1.0,0.80009375,0.0002125,0.19969375
