system,label,run_path,legacy_rho_one_frac,new_rho_one_frac,new_deadband_frac,legacy_tail_residual_norm,new_tail_residual_norm,legacy_authority_frac,new_authority_frac
distillation,Residual TD3 mismatch,Distillation\Results\distillation_residual_td3_disturb_fluctuation_mismatch_rho_unified\20260420_180906\input_data.pkl,0.5125,0.0,0.225,0.0002693075514780023,4.6000253284829417e-05,0.9375,0.735
polymer,Residual TD3 mismatch,Polymer\Results\td3_residual_disturb\20260413_004620\input_data.pkl,0.5325,0.19166666666666668,0.23083333333333333,1.2962867740051473e-07,1.2962867737410943e-07,0.0,0.0
