system,run_label,state,state_index,state_mode,full_span_ratio,late_full_ratio,outside_frac,saved_min,saved_max
polymer,Horizon DDQN mismatch,x7,6,mismatch,0.326710763532704,0.0036455407429446447,0.02813125,-1.605420360537593,2.416319341719053
polymer,Horizon DDQN mismatch,d1,7,mismatch,0.7354099198153676,0.9922433537429745,8.125e-05,-2.7691704878813295,3.994531523940536
polymer,Horizon DDQN mismatch,d2,8,mismatch,0.3102230467327805,0.9414006048559663,0.02506875,-6.801465966360661,6.079659037574865
polymer,Dueling DDQN standard,x1,0,standard,0.32704898105613894,0.0037587691501900253,0.02890625,-147.81886105146123,222.48857513286282
polymer,Dueling DDQN standard,x2,1,standard,0.15536719478144467,0.013266803041345258,0.02449375,-150.383209030181,218.47081849230585
polymer,Dueling DDQN standard,x3,2,standard,0.17627791672527532,0.04363641397809453,0.02971875,-62.39579215098989,36.913686488161154
polymer,Dueling DDQN standard,x4,3,standard,0.1631555175535071,0.07435264457691655,0.024375,-82.89583490274029,120.82461374905904
polymer,Dueling DDQN standard,x5,4,standard,0.3200214957131045,0.003756360796281906,0.02946875,-1.589663913553528,2.4171302644080845
polymer,Dueling DDQN standard,x6,5,standard,0.3243232436023532,0.003298417066462815,0.0290625,-1.7963756867192349,2.712859691422519
polymer,Dueling DDQN standard,x7,6,standard,0.32704867616296807,0.003660590888896668,0.02885,-1.605420360537593,2.416319341719053
polymer,Dueling DDQN standard,d1,7,standard,0.7387012650245889,0.9878113291081286,8.75e-05,-2.7691704878813295,3.994531523940536
polymer,Dueling DDQN standard,d2,8,standard,0.3144622274527613,0.9287282225872125,0.02484375,-6.801465966360661,6.079659037574865
polymer,Matrix TD3 mismatch,x1,0,mismatch,0.251174677703665,0.006780916111452333,0.01856875,-147.81886105146123,222.48857513286282
polymer,Matrix TD3 mismatch,x2,1,mismatch,0.17893596779604573,0.01359280441308616,0.01369375,-150.383209030181,218.47081849230585
polymer,Matrix TD3 mismatch,x3,2,mismatch,0.1330909575739982,0.059321743127792,0.01713125,-62.39579215098989,36.913686488161154
polymer,Matrix TD3 mismatch,x4,3,mismatch,0.17680594933364702,0.07076417553542265,0.01368125,-82.89583490274029,120.82461374905904
polymer,Matrix TD3 mismatch,x5,4,mismatch,0.23933378361938085,0.0070508616508397955,0.01783125,-1.589663913553528,2.4171302644080845
polymer,Matrix TD3 mismatch,x6,5,mismatch,0.24481545835192572,0.0062971987540170775,0.018575,-1.7963756867192349,2.712859691422519
polymer,Matrix TD3 mismatch,x7,6,mismatch,0.24919002769006895,0.006706224056558062,0.01856875,-1.605420360537593,2.416319341719053
polymer,Matrix TD3 mismatch,d1,7,mismatch,0.7292163676180197,1.0006119298225196,0.0,-2.7691704878813295,3.994531523940536
polymer,Matrix TD3 mismatch,d2,8,mismatch,0.4126718044405745,0.7083524908920016,0.0198125,-6.801465966360661,6.079659037574865
polymer,Weights TD3 standard,x1,0,standard,0.25007192239983944,0.004950823062536815,0.024925,-147.81886105146123,222.48857513286282
polymer,Weights TD3 standard,x2,1,standard,0.15373284787385377,0.014076500185730851,0.0234375,-150.383209030181,218.47081849230585
polymer,Weights TD3 standard,x3,2,standard,0.13406475937310877,0.059043127775460086,0.02681875,-62.39579215098989,36.913686488161154
polymer,Weights TD3 standard,x4,3,standard,0.15291820213940352,0.07989955558184907,0.023125,-82.89583490274029,120.82461374905904
polymer,Weights TD3 standard,x5,4,standard,0.244774626905923,0.004953875910453143,0.02555,-1.589663913553528,2.4171302644080845
polymer,Weights TD3 standard,x6,5,standard,0.2487851123209232,0.004331090406767593,0.02519375,-1.7963756867192349,2.712859691422519
polymer,Weights TD3 standard,x7,6,standard,0.25022694815663654,0.004819829237679821,0.024825,-1.605420360537593,2.416319341719053
polymer,Weights TD3 standard,d1,7,standard,0.734619000330412,0.9944262786202402,0.00021875,-2.7691704878813295,3.994531523940536
polymer,Weights TD3 standard,d2,8,standard,0.3524918343930785,0.8284856456052552,0.02416875,-6.801465966360661,6.079659037574865
polymer,Residual TD3 mismatch,x1,0,mismatch,0.22217594589000259,0.010666768753703657,0.01806875,-147.81886105146123,222.48857513286282
polymer,Residual TD3 mismatch,x2,1,mismatch,0.17248272539181778,0.012750695187730825,0.0136125,-150.383209030181,218.47081849230585
polymer,Residual TD3 mismatch,x3,2,mismatch,0.13726342324107746,0.05673944101644838,0.016975,-62.39579215098989,36.913686488161154
polymer,Residual TD3 mismatch,x4,3,mismatch,0.1725900432566106,0.07109023772345864,0.01381875,-82.89583490274029,120.82461374905904
polymer,Residual TD3 mismatch,x5,4,mismatch,0.21113567991777957,0.01118148573638456,0.0180875,-1.589663913553528,2.4171302644080845
polymer,Residual TD3 mismatch,x6,5,mismatch,0.21915732968131463,0.010028495444041427,0.01801875,-1.7963756867192349,2.712859691422519
polymer,Residual TD3 mismatch,x7,6,mismatch,0.22289430739094365,0.010492345414487354,0.01800625,-1.605420360537593,2.416319341719053
polymer,Residual TD3 mismatch,d1,7,mismatch,0.7302384252651479,1.0019547231732637,0.0,-2.7691704878813295,3.994531523940536
polymer,Residual TD3 mismatch,d2,8,mismatch,0.4183164435413619,0.7017613479392235,0.0181,-6.801465966360661,6.079659037574865
polymer,Reid TD3 mismatch,x1,0,mismatch,0.16173335894577506,0.05215386988858473,0.0068,-147.81886105146123,222.48857513286282
polymer,Reid TD3 mismatch,x2,1,mismatch,0.18801173342224226,0.02037787186362089,0.02249375,-150.383209030181,218.47081849230585
polymer,Reid TD3 mismatch,x3,2,mismatch,0.11755181988262631,0.07137577646894552,0.00160625,-62.39579215098989,36.913686488161154
polymer,Reid TD3 mismatch,x4,3,mismatch,0.20386280864122125,0.0677840689040048,0.02475,-82.89583490274029,120.82461374905904
polymer,Reid TD3 mismatch,x5,4,mismatch,0.25026600639800495,0.03307058658770123,0.02935,-1.589663913553528,2.4171302644080845
polymer,Reid TD3 mismatch,x6,5,mismatch,0.1320164035313771,0.06242758289865844,0.0021,-1.7963756867192349,2.712859691422519
polymer,Reid TD3 mismatch,x7,6,mismatch,0.16672160469555775,0.050399082716737945,0.0075,-1.605420360537593,2.416319341719053
polymer,Reid TD3 mismatch,d1,7,mismatch,0.7289183462735447,1.0014130587784036,0.00065,-2.7691704878813295,3.994531523940536
polymer,Reid TD3 mismatch,d2,8,mismatch,0.39490845474010355,0.7427076438471252,0.017475,-6.801465966360661,6.079659037574865
