run_id,family,variant,label,run_path,run_mode,state_mode,observer_update_alignment,base_state_norm_mode,mismatch_feature_transform_mode,range_profile,update_family,disturbance_consistent,tail_phys_mae_mean,test_phys_mae_mean,test_phys_mae_out1,test_phys_mae_out2,test_scaled_mae_out1,test_scaled_mae_out2,reward_test,reward_final10_mean,reward_trough,reward_trough_episode,reward_recover_episode,test_u_move,weighted_quad_out1,weighted_quad_out2,alpha_mean_test,alpha_p95_test,alpha_max_test,delta1_mean_test,delta2_mean_test,delta1_p95_test,delta2_p95_test,A_model_delta_ratio_mean_test,B_model_delta_ratio_mean_test,derived_spectral_mean_test,derived_spectral_p95_test,derived_spectral_max_test,spectral_mean_test,spectral_p95_test,spectral_max_test,near_bound_mean_test,action_saturation_mean_test,prediction_fallback_frac_test,candidate_valid_frac,update_success_frac,condition_median,condition_p95,residual_ratio_median,residual_ratio_p95
baseline,baseline,baseline,Baseline MPC,Polymer/Data/mpc_results_dist.pickle,disturb,n/a,n/a,n/a,n/a,n/a,n/a,True,0.17012872005326035,0.170130691326577,0.06738246854814785,0.27287891410500614,0.2915946782674908,0.3395601475196239,-4.417364930715477,-4.417343134246657,-4.417794037920338,159,163,0.03049779903355188,387.45229481709896,47.50386172039496,,,,,,,,,,,,,,,,,,,,,,,,
matrix_legacy,matrix,legacy,Matrix legacy,Polymer/Results/td3_multipliers_disturb/20260411_011134/input_data.pkl,disturb,mismatch,n/a,n/a,n/a,n/a,n/a,True,0.17217604529157396,0.17166686425936883,0.06445504904931959,0.2788786794694181,0.2783943777771148,0.34724392263555154,-4.16668809237841,-4.190751738344694,-4.496864532741922,12,52,0.03098384426504251,361.74378394538763,47.60405456119428,1.0027595599728156,1.035661506652832,1.05,1.0059278226464448,1.02366802870651,1.0350491674244404,1.049629239588976,0.021173570103208497,0.027709515945743685,0.9490055241612069,0.9801437255819339,0.9937135881270289,,,,,,,,,,,,
matrix_refresh,matrix,narrow_refresh,Matrix narrow refresh,Polymer/Results/td3_multipliers_disturb/20260420_234944/input_data.pkl,disturb,mismatch,legacy_previous_measurement,running_zscore_physical_xhat,signed_log,n/a,n/a,True,0.17276880028544134,0.17302947296687804,0.0627155223234609,0.2833434236102952,0.2705583131048604,0.352961905775544,-4.086010315966469,-4.0888230565577715,-4.70609908082429,22,82,0.030601198612953476,351.5221153624056,49.060969919743826,1.0047841858511093,1.05,1.05,0.9794261691617866,0.9862533483599109,1.0294132059812546,1.049998479485512,0.03970846671896292,0.04190904293521549,0.9509216177289537,0.9937135881270289,0.9937135881270289,,,,,,,nan,nan,nan,nan,nan,nan
matrix_wide,matrix,wide_refresh,Matrix wide,Polymer/Results/td3_multipliers_disturb/20260421_011145/input_data.pkl,disturb,mismatch,legacy_previous_measurement,running_zscore_physical_xhat,signed_log,n/a,n/a,True,0.15915909184941465,0.15340534782201148,0.049406380183244815,0.25740431546077813,0.21048227248614337,0.31978066973505664,-3.1837325917254677,-3.2069070521146847,-34.5038882223791,19,139,0.033790214384349766,269.0294561012907,42.11975198320688,0.953569020578143,1.1553345465660094,1.2,1.1399825844937588,1.0069762965369446,1.1999999046325682,1.1999772191047668,0.08724433268795838,0.12572423720868128,0.9024518980623649,1.0934015597668794,1.1356726721451758,,,,,,,nan,nan,nan,nan,nan,nan
structured_legacy,structured,legacy,Structured legacy,Polymer/Results/td3_structured_matrices_disturb/20260409_193654/input_data.pkl,disturb,mismatch,n/a,n/a,n/a,tight,block,True,0.16708062738354684,0.16369609364455226,0.0651227651635821,0.26226942212552246,0.2813992203344969,0.3259849950831504,-4.2804939243258255,-4.3061642929799,-4.541764641590942,36,157,0.031701489386679986,376.2242790162501,45.56648702031622,,,,,,,,,,,,,0.9476925872326265,0.9644415950422882,0.9653217713233994,0.26499999999999996,0.23875,0.0,,,,,,
structured_refresh,structured,narrow_refresh,Structured narrow refresh,Polymer/Results/td3_structured_matrices_disturb/20260420_235100/input_data.pkl,disturb,mismatch,legacy_previous_measurement,running_zscore_physical_xhat,signed_log,tight,block,True,0.16728065671072848,0.1642308326416709,0.06372289312508989,0.2647387721582519,0.2750851621178675,0.3291526044534088,-4.177056193637369,-4.188497507878315,-4.579034423342846,28,142,0.029429531938269856,368.05467392882036,43.8712634293777,,,,,,,,,,,,,0.9483530671273024,0.9653217713233994,0.9653217713233994,0.56,0.5239583333333333,0.0,nan,nan,nan,nan,nan,nan
structured_wide,structured,wide_refresh,Structured wide,Polymer/Results/td3_structured_matrices_disturb/20260421_013208/input_data.pkl,disturb,mismatch,legacy_previous_measurement,running_zscore_physical_xhat,signed_log,wide,block,True,0.1536821825843179,0.19254466226387548,0.05212144088878836,0.3329678836389626,0.22269880610467155,0.41686046751639977,-3.259289531427859,-3.251878718351113,-24.214492174610623,12,141,0.07020298361988071,265.8577454900375,47.78956735685974,,,,,,,,,,,,,1.1054120570178458,1.1356725830182102,1.1356726721451758,0.6725,0.5254166666666666,0.0,nan,nan,nan,nan,nan,nan
reid_refresh,reidentification,refresh,Reidentification refresh,Polymer/Results/td3_reidentification_disturb/20260420_234346/input_data.pkl,disturb,mismatch,legacy_previous_measurement,running_zscore_physical_xhat,signed_log,n/a,n/a,True,0.17669800295202157,0.1769601446407594,0.06776513052076721,0.2861551587607516,0.29332175514592995,0.3565591336637168,-4.413460406191138,-4.412701249167275,-4.536288027205061,83,98,0.032536037772363295,383.0666611965937,51.59060414534884,,,,,,,,,,,,,,,,,,,0.0010625,0.0002125,185509.08070266095,2199603.175977453,0.9714241376726416,5.194269489338479
