a_high,b_high,unstable_frac,near_unit_frac,spectral_mean,spectral_p95,spectral_max
1.0,1.25,0.0,0.0,0.8579915814906031,0.9337441115624174,0.9463530265111371
1.02,1.25,0.0,0.0,0.8717492322374305,0.9505808677358876,0.9652288043976982
1.03,1.25,0.0,0.0,0.8777535472582952,0.9612673592891978,0.9746967083862703
1.04,1.25,0.0,0.01575,0.8828942380575024,0.9710352805804596,0.9841647978570476
1.05,1.25,0.0,0.04175,0.8903865475533226,0.9781143772190573,0.9936490139388634
1.0566,1.25,0.0,0.077,0.8940519302704742,0.9869903283392555,0.9998411872237823
1.08,1.25,0.0655,0.187,0.9081068252925046,1.0043167877238615,1.0221024520093438
1.1,1.25,0.17475,0.27425,0.9206156278665831,1.0236134183829053,1.0410096832516234
1.15,1.25,0.36975,0.455,0.9526307866075234,1.0697597827816205,1.0880858835745675
1.25,1.25,0.5945,0.652,1.0150507575659182,1.159760749900248,1.1829534091667688
